City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Miranda De Ebro,ES,45.0,broken clouds,42.6865,-2.947,Hospedería El Convento
1,Rikitea,PF,79.5,clear sky,-23.1203,-134.9692,Pension Maro'i
2,Vaini,TO,86.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
3,Barroquinha,BR,76.95,overcast clouds,-3.0189,-41.1361,Pousada Fontenele
4,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
5,Jamestown,US,17.6,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
6,Kapaa,US,77.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
8,Ribeira Grande,PT,63.16,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
9,Faanui,PF,81.75,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
10,Saint Anthony,US,32.0,light snow,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
11,Albany,US,17.01,clear sky,42.6001,-73.9662,
12,Ushuaia,AR,50.0,few clouds,-54.8,-68.3,Albatros Hotel
13,Mataura,NZ,71.98,overcast clouds,-46.1927,168.8643,Ellie's Villa
14,Maralal,KE,54.75,clear sky,1.0968,36.698,Ngari Hill Ecolodge
15,Kavaratti,IN,80.78,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
16,Qiyang,CN,52.0,overcast clouds,26.5911,111.8474,鑫利大酒店
17,Ulladulla,AU,68.0,overcast clouds,-35.35,150.4667,Sandpiper Motel
18,Oros,BR,78.03,light rain,-6.2444,-38.9136,Pousada Orós
19,Puerto Ayora,EC,78.01,broken clouds,-0.7393,-90.3518,Castillo Galapagos
20,Denpasar,ID,84.2,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
21,Port Alfred,ZA,63.0,clear sky,-33.5906,26.891,The Halyards Hotel
22,Tautira,PF,84.2,broken clouds,-17.7333,-149.15,Pension Oaoa
23,Hithadhoo,MV,81.68,few clouds,-0.6,73.0833,Scoop Guest House
25,Cape Town,ZA,70.0,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
26,Chuy,UY,71.06,heavy intensity rain,-33.6971,-53.4616,Nuevo Hotel Plaza
27,Mar Del Plata,AR,62.6,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
28,Adrar,MR,65.71,broken clouds,20.5022,-10.0711,
30,Bluff,NZ,58.21,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
31,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
32,Pisco,PE,71.6,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
33,Port Elizabeth,ZA,62.6,clear sky,-33.918,25.5701,39 On Nile Guest House
34,Sibolga,ID,77.09,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
35,Torbay,CA,28.99,overcast clouds,47.6666,-52.7314,Gallows Cove
36,Korla,CN,18.36,clear sky,41.7597,86.1469,Gulisitan Hotel
37,Itumba,TZ,62.24,overcast clouds,-9.4,33.1833,Swila Logd
38,Wanning,CN,70.21,broken clouds,18.8003,110.3967,Paradise Hotel
40,Dunedin,NZ,62.01,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
41,Tavda,RU,14.13,overcast clouds,58.0425,65.2726,The hotel is number 1
42,Cabedelo,BR,77.0,few clouds,-6.9811,-34.8339,Hotel Pigalle
43,Neuquen,AR,62.6,broken clouds,-38.9516,-68.0591,Hotel del Comahue
44,Hilo,US,80.6,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
45,Hami,CN,20.75,clear sky,42.8,93.45,Laoyutang Resort
46,Bengkulu,ID,74.43,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
47,Sioux Lookout,CA,23.0,light snow,50.1001,-91.917,Knobby's Fly-In Camps
48,West Bend,US,30.99,light snow,43.4253,-88.1834,Hampton Inn & Suites West Bend
49,Kruisfontein,ZA,59.0,clear sky,-34.0033,24.7314,Oyster Bay House Rental
50,Usvyaty,RU,19.71,overcast clouds,55.7456,30.7533,Gostinitsa Usvyacha
51,Victoria,HK,64.0,clear sky,22.2855,114.1577,Mini Hotel Central
52,Marsh Harbour,BS,66.49,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
53,Terbuny,RU,34.41,snow,52.1389,38.2789,
56,Atuona,PF,79.25,broken clouds,-9.8,-139.0333,Villa Enata
57,Chiang Khong,TH,66.2,fog,20.2613,100.4046,Chiangkhong Green Inn Resident
58,Baghdad,IQ,44.6,clear sky,33.3406,44.4009,Baghdad Hotel
59,Hermanus,ZA,64.99,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
60,Mount Gambier,AU,69.8,overcast clouds,-37.8333,140.7667,Commodore on the Park
61,Rawson,AR,60.69,clear sky,-43.3002,-65.1023,Hosteria Sampedro
62,Kodiak,US,32.0,clear sky,57.79,-152.4072,Best Western Kodiak Inn and Convention Center
64,Constitucion,CL,59.59,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
65,Kavieng,PG,83.41,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
66,Sylacauga,US,53.6,broken clouds,33.1732,-86.2516,Holiday Inn Express & Suites Sylacauga
67,Bambous Virieux,MU,78.8,scattered clouds,-20.3428,57.7575,Casa Tia Villa
68,Hobart,AU,75.99,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
69,Karratha,AU,89.56,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
70,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
71,Povenets,RU,14.4,overcast clouds,62.8487,34.8262,Eko Otel' Bol'shaya Medveditsa
72,Susangerd,IR,51.24,clear sky,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
74,Punta Arenas,CL,50.0,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
75,Cabo San Lucas,MX,70.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
