City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Miranda De Ebro,ES,42.6865,-2.947,45.0,76,75,11.5,broken clouds,2021-01-31 01:22:34
1,Rikitea,PF,-23.1203,-134.9692,79.5,70,0,11.34,clear sky,2021-01-31 01:22:35
2,Vaini,TO,-21.2,-175.2,86.0,79,75,13.8,broken clouds,2021-01-31 01:20:19
3,Barroquinha,BR,-3.0189,-41.1361,76.95,81,100,5.68,overcast clouds,2021-01-31 01:22:35
4,Saint-Philippe,RE,-21.3585,55.7679,78.8,65,0,8.05,light rain,2021-01-31 01:07:56
5,Jamestown,US,42.097,-79.2353,17.6,79,1,3.13,clear sky,2021-01-31 01:22:12
6,Kapaa,US,22.0752,-159.319,77.0,69,75,14.97,light rain,2021-01-31 01:22:35
7,Norman Wells,CA,65.282,-126.8329,-31.0,75,75,3.31,broken clouds,2021-01-31 01:22:35
8,Ribeira Grande,PT,38.5167,-28.7,63.16,91,97,22.06,overcast clouds,2021-01-31 01:22:35
9,Faanui,PF,-16.4833,-151.75,81.75,70,31,8.03,scattered clouds,2021-01-31 01:22:36
10,Saint Anthony,US,45.0205,-93.218,32.0,80,90,6.91,light snow,2021-01-31 01:22:36
11,Albany,US,42.6001,-73.9662,17.01,60,5,7.74,clear sky,2021-01-31 01:18:21
12,Ushuaia,AR,-54.8,-68.3,50.0,66,20,24.16,few clouds,2021-01-31 01:18:08
13,Mataura,NZ,-46.1927,168.8643,71.98,37,96,3.56,overcast clouds,2021-01-31 01:22:37
14,Maralal,KE,1.0968,36.698,54.75,62,0,5.64,clear sky,2021-01-31 01:22:37
15,Kavaratti,IN,10.5669,72.642,80.78,72,4,9.06,clear sky,2021-01-31 01:19:11
16,Qiyang,CN,26.5911,111.8474,52.0,65,100,1.88,overcast clouds,2021-01-31 01:22:37
17,Ulladulla,AU,-35.35,150.4667,68.0,83,90,10.36,overcast clouds,2021-01-31 01:22:37
18,Oros,BR,-6.2444,-38.9136,78.03,65,100,1.5,light rain,2021-01-31 01:22:38
19,Puerto Ayora,EC,-0.7393,-90.3518,78.01,89,51,5.01,broken clouds,2021-01-31 01:22:38
20,Denpasar,ID,-8.65,115.2167,84.2,79,40,12.66,scattered clouds,2021-01-31 01:17:41
21,Port Alfred,ZA,-33.5906,26.891,63.0,91,0,0.89,clear sky,2021-01-31 01:22:38
